Date,Tweet
10/7/2020,"Folks, I know a thing or two about vice presidential debates.  In 2008, I squared off against Governor Palin. And in 2012, I called out Congressman Ryan's malarkey.  I know @KamalaHarris will do a great job. Join me and tune in at 9 PM ET to cheer her on."
10/7/2020,"As president, I will:  - Implement nationwide mask mandates - Ensure access to regular, reliable, and free testing - Accelerate the development of treatments and vaccines  I won't waste any time getting this virus under control."
10/6/2020,"Make no mistake: if you are out of work, if your business is closed, if your child's school is shut down, if you are seeing layoffs in your community, Donald Trump decided today that none of that matters to him."
10/6/2020,"I give you my word: If I am elected president, I will marshal the ingenuity and goodwill of this nation to turn division into unity and bring us together."
10/6/2020,"As president, I will embrace:  Hope, not fear. Peace, not violence. Generosity, not greed. Light, not darkness.   I will be a president who appeals to the best in us. Not the worst."
10/6/2020,"We fought a Civil War that would secure a Union that would seek to fulfill the promise of equality for all.  And by fits and starts, our better angels have prevailed just enough against our worst impulses to make a new and better nation.  Those better angels must prevail again."
10/6/2020,The pandemic is not a red state versus blue state issue. The virus doesn't care where you live or what political party you belong to.  It infects us all. It will take anyone's life. It is a virus - not a political weapon.
10/6/2020,I do not believe we have to choose between law and order and racial justice in America.
10/6/2020,"As president, I will send a clear, unequivocal message to the entire nation: There is no place for hate in America.  It will be given no license. It will be given no oxygen. It will be given no safe harbor."
10/6/2020,Unity over division.
10/6/2020,"Folks, we can save nearly 100,000 lives by the end of the year if everyone wears a mask in public.  Do your part. Protect your neighbors. Wear a mask."
10/6/2020,Listen to the scientists.
10/6/2020,I view wearing a mask as a patriotic duty - to protect those around you. #BidenTownHall
10/6/2020,Masks matter. They save lives.
10/5/2020,"Now that President Trump is busy tweeting campaign messages, I would ask him to do this: Listen to the scientists. Support masks. Support mask mandates nationwide."
10/5/2020,Imagine a future where:  - Health care is a right - We end the gun violence epidemic - We combat climate change - Our government works for everyone  It's a future that we can build - together.
10/4/2020,Before we're Democrats or Republicans or independents - we're Americans.  We can't forget that.
10/4/2020,30 days.
10/4/2020,"At this moment, we're facing unprecedented crises. But I know the American people have what it takes to overcome them.  There's not a single thing beyond our capacity."
10/3/2020,"It's time we come together.  It's time we see each other as fellow Americans, who don't just live in red states and blue states, but who live in - and love - the United States of America.  That's who we are - and there is nothing we cannot do if we do it together."
10/3/2020,"One month until Election Day. Let's do this, America."
10/3/2020,"Be a patriot. Do your part.  Wearing a mask will protect you. But it will also protect those around you - your mom, your dad, your son, your daughter, your neighbor, your co-worker.  Don't just do it for yourself. Do it for the people you love."
10/2/2020,"I'm running as a Democrat, but I will be an American president. Whether you voted for me or against me, I will represent you."
10/2/2020,"We can, we will, and we must come together."
10/2/2020,This cannot be a partisan moment.  It must be an American moment.  We have to come together as a nation.
10/2/2020,"I'm happy to report that Jill and I have tested negative for COVID. Thank you to everyone for your messages of concern. I hope this serves as a reminder: wear a mask, keep social distance, and wash your hands."
10/2/2020,Jill and I send our thoughts to President Trump and First Lady Melania Trump for a swift recovery. We will continue to pray for the health and safety of the president and his family.
10/2/2020,"Donald Trump will do everything he can to distract from the fact that because of his failed COVID-19 response:  - Over 200,000 Americans have died - 26 million are on unemployment - 1 in 6 small businesses risk permanent closure  We can't let him."
10/1/2020,"When I first ran for Senate, we put up a billboard that said, Joe Biden: For all our families.  It's a motto that has guided me throughout my career.  It doesn't matter if you're a Democrat or Republican-I'll be a president for "
10/1/2020,"During Filipino American History Month, we celebrate the community's immense contributions to our country - from early immigrants to the millions today, many who serve in the military or as frontline workers. As President, I'll work alongside them to protect the American people."
10/1/2020,"Three years ago today, Las Vegas was struck by tragedy when a gunman opened fire on the Route 91 Harvest Festival. It remains the deadliest mass shooting in modern U.S. history.  As we remember those we lost, we must take action to ensure it never happens again."
10/1/2020,Jill and I wish a happy Mid-Autumn Festival to all those celebrating. We join you in hoping for a future filled with peace and prosperity - and hope your festivities lead to a bountiful harvest in the year ahead.
